size_label,formulation,mean_lp_gap,mean_runtime,mean_nodes,mean_cuts,mean_mip_gap,num_runs
"10 facilities, 30 customers",loose_big_m,0.8264154579662175,0.12350797653198238,102.4,65.6,4.5164544461962335e-05,5
"10 facilities, 30 customers",tight_big_m,0.0495153707750282,0.11323986053466795,102.4,65.6,4.5164544461962335e-05,5
"10 facilities, 30 customers",indicator,0.9442066566583996,0.09041671752929684,109.2,63.4,1.625066241273069e-05,5
"20 facilities, 60 customers",loose_big_m,0.892367889729756,7.48241171836853,37208.0,124.2,5.890588963343507e-05,5
"20 facilities, 60 customers",tight_big_m,0.03224181736964374,8.309454822540284,39108.6,118.6,5.380494917233233e-05,5
"20 facilities, 60 customers",indicator,0.9543701708688932,8.99800968170166,34934.6,119.4,3.373071106820008e-05,5
"30 facilities, 100 customers",loose_big_m,0.9110174675675854,450.74097261428835,2288035.8,139.0,9.881597318317586e-05,5
"30 facilities, 100 customers",tight_big_m,0.01766666349582214,1121.0066713809967,3694928.0,160.6,9.34805009355638e-05,5
"30 facilities, 100 customers",indicator,0.9538366484058118,1909.0802285194397,1135542.4,150.4,9.795676858644203e-05,5
